#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
RULE_GROUP_Y;Yvel's Mods;;;;;;;;;;;;;x;
RULE_Y_SUCC_LAWS;YMM:Additional Succession Laws;;;;;;;;;;;;;x;
RULE_Y_SUCC_LAWS_ENABLED;Enabled;;;;;;;;;;;;;x;
RULE_Y_SUCC_LAWS_ENABLED_DESC;Enatic/Enatic-cognatic gender laws added;;;;;;;;;;;;;x;
RULE_Y_SUCC_LAWS_DISABLED;Disabled;;;;;;;;;;;;;x;
RULE_Y_SUCC_LAWS_DISABLED_DESC;Disabled;;;;;;;;;;;;;x;
RULE_RENAME_FAMILY;YMM:Rename Family;;;;;;;;;;;;;x;
RULE_RENAME_FAMILY_ENABLED;Enabled;;;;;;;;;;;;;x;
RULE_RENAME_FAMILY_ENABLED_DESC;Rename dynasty members and self infinitely;;;;;;;;;;;;;x;
RULE_RENAME_FAMILY_DISABLED;Disabled;;;;;;;;;;;;;x;
RULE_RENAME_FAMILY_DISABLED_DESC;Disabled;;;;;;;;;;;;;x;
RULE_ARTIFACT_MOD;YMM:Artifact Mod;;;;;;;;;;;;;x;
RULE_ARTIFACT_MOD_ENABLED;Enabled;;;;;;;;;;;;;x;
RULE_ARTIFACT_MOD_ENABLED_DESC;Cheaty, mainly here for fun;;;;;;;;;;;;;x;
RULE_ARTIFACT_MOD_DISABLED;Disabled;;;;;;;;;;;;;x;
RULE_ARTIFACT_MOD_DISABLED_DESC;Disabled;;;;;;;;;;;;;x;
RULE_NON_AGGRESSION_PACT_DECISION;YMM:Non Aggression Pact Decision;;;;;;;;;;;;;x;
RULE_NON_AGGRESSION_PACT_DECISION_ENABLED;Enabled;;;;;;;;;;;;;x;
RULE_NON_AGGRESSION_PACT_DECISION_ENABLED_DESC;Targetted decision with high enough opinion to form a NAP;;;;;;;;;;;;;x;
RULE_NON_AGGRESSION_PACT_DECISION_DISABLED;Disabled;;;;;;;;;;;;;x;
RULE_NON_AGGRESSION_PACT_DECISION_DISABLED_DESC;Disabled;;;;;;;;;;;;;x;
RULE_MULTIPLAYER_COMMANDS;YMM:Multiplayer Commands;;;;;;;;;;;;;x;
RULE_MULTIPLAYER_COMMANDS_ENABLED;Enabled;;;;;;;;;;;;;x;
RULE_MULTIPLAYER_COMMANDS_ENABLED_DESC;Extra player only commands added;;;;;;;;;;;;;x;
RULE_MULTIPLAYER_COMMANDS_DISABLED;Disabled;;;;;;;;;;;;;x;
RULE_MULTIPLAYER_COMMANDS_DISABLED_DESC;Disabled;;;;;;;;;;;;;x;
