#CODE;ENGLISH;;;;;;;;;;;;;x
mp_alliance;Create Alliance;;;;;;;;;;;;;x
mp_alliance_desc;I have this working finally, yippee;;;;;;;;;;;;;x
mp_friend;Add Friend;;;;;;;;;;;;;x
mp_friend_desc;Add target as friend;;;;;;;;;;;;;x
mp_cash_100;Give 100 Gold;;;;;;;;;;;;;x
mp_cash_100_desc;Meowmeowmeow;;;;;;;;;;;;;x
mp_cash_500;Give 500 Gold;;;;;;;;;;;;;x
mp_cash_500_desc;Meowmeowmeow;;;;;;;;;;;;;x
mp_cash_1000;Give 1000 Gold;;;;;;;;;;;;;x
mp_cash_1000_desc;Meowmeowmeow;;;;;;;;;;;;;x
mp_cash_5000;Give 5000 Gold;;;;;;;;;;;;;x
mp_cash_5000_desc;Meowmeowmeow;;;;;;;;;;;;;x
