#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
RULE_GROUP_Y;§RYvel's Mods§!;;;;;;;;;;;;;x;
RULE_RENAME_FAMILY;§RYMM§!:Rename Family;;;;;;;;;;;;;x;
RULE_RENAME_FAMILY_ENABLED;Enabled;;;;;;;;;;;;;x;
RULE_RENAME_FAMILY_ENABLED_DESC;Rename dynasty members and self infinitely;;;;;;;;;;;;;x;
RULE_RENAME_FAMILY_DISABLED;Disabled;;;;;;;;;;;;;x;
RULE_RENAME_FAMILY_DISABLED_DESC;Disabled;;;;;;;;;;;;;x;
RULE_ARTIFACT_MOD;§RYMM§!:Cheat Mod;;;;;;;;;;;;;x;
RULE_ARTIFACT_MOD_ENABLED;Enabled;;;;;;;;;;;;;x;
RULE_ARTIFACT_MOD_ENABLED_DESC;Very cheaty, mainly here for fun, lots of suboptions ingame <insert spinning cat gif>;;;;;;;;;;;;;x;
RULE_ARTIFACT_MOD_DISABLED;Disabled;;;;;;;;;;;;;x;
RULE_ARTIFACT_MOD_DISABLED_DESC;Disabled;;;;;;;;;;;;;x;
RULE_NON_AGGRESSION_PACT_DECISION;§RYMM§!:Non Aggression Pact Decision;;;;;;;;;;;;;x;
RULE_NON_AGGRESSION_PACT_DECISION_ENABLED;Enabled;;;;;;;;;;;;;x;
RULE_NON_AGGRESSION_PACT_DECISION_ENABLED_DESC;Targeted decision with high enough opinion to form a NAP;;;;;;;;;;;;;x;
RULE_NON_AGGRESSION_PACT_DECISION_DISABLED;Disabled;;;;;;;;;;;;;x;
RULE_NON_AGGRESSION_PACT_DECISION_DISABLED_DESC;Disabled;;;;;;;;;;;;;x;
RULE_MULTIPLAYER_COMMANDS;§RYMM§!:Multiplayer Commands;;;;;;;;;;;;;x;
RULE_MULTIPLAYER_COMMANDS_ENABLED;Enabled;;;;;;;;;;;;;x;
RULE_MULTIPLAYER_COMMANDS_ENABLED_DESC;Extra player only commands added;;;;;;;;;;;;;x;
RULE_MULTIPLAYER_COMMANDS_DISABLED;Disabled;;;;;;;;;;;;;x;
RULE_MULTIPLAYER_COMMANDS_DISABLED_DESC;Disabled;;;;;;;;;;;;;x;
RULE_TREE_PRUNING;§RYMM§!:Family Tree Pruning;;;;;;;;;;;;;x;
RULE_TREE_PRUNING_ENABLED;Enabled;;;;;;;;;;;;;x;
RULE_TREE_PRUNING_ENABLED_DESC;Targeted intrigue decision to help prune dead, childless people off the family tree;;;;;;;;;;;;;x;
RULE_TREE_PRUNING_DISABLED;Disabled;;;;;;;;;;;;;x;
RULE_TREE_PRUNING_DISABLED_DESC;Disabled;;;;;;;;;;;;;x;
RULE_SEX_CHANGE;§RYMM§!:Targeted Family Decisions;;;;;;;;;;;;;x;
RULE_SEX_CHANGE_ENABLED;Enabled;;;;;;;;;;;;;x;
RULE_SEX_CHANGE_ENABLED_DESC;Targeted intrigue decision to swap targeted character's gender, setting targets as mother and father, also for removing parents (watch out for breaking family trees);;;;;;;;;;;;;x;
RULE_SEX_CHANGE_DISABLED;Disabled;;;;;;;;;;;;;x;
RULE_SEX_CHANGE_DISABLED_DESC;Disabled;;;;;;;;;;;;;x;
RULE_MASS_EXTINCTION;§RYMM§!:Mass Extinction
RULE_MASS_EXTINCTION_ENABLED;Mass murder commands to attempt to help late game performance where there are too many people
RULE_MASS_EXTINCTION_ENABLED_DESC;Enabled
RULE_MASS_EXTINCTION_DISABLED;Disabled
RULE_MASS_EXTINCTION_DISABLED_DESC;Disabled
